date,open,high,low,close,volume,average,barCount,is_rth
2019-07-26 00:00:00+00:00,8.25,9.24,8.0,9.1,2361615.0,8.5461,6835,False
2019-07-29 00:00:00+00:00,9.23,11.03,9.09,10.0,762118.0,10.1159,2264,False
2019-07-30 00:00:00+00:00,10.21,10.78,10.1,10.1,685289.0,10.43524,2599,False
2019-07-31 00:00:00+00:00,10.14,10.45,10.0,10.02,295452.0,10.20364,1162,False
2019-08-01 00:00:00+00:00,9.99,10.26,9.11,9.4,520421.0,9.48591,2231,False
2019-08-02 00:00:00+00:00,9.98,9.98,9.12,9.28,139423.0,9.31907,263,False
2019-08-05 00:00:00+00:00,8.66,8.89,8.25,8.75,377112.0,8.62285,1280,False
2019-08-06 00:00:00+00:00,8.96,9.24,8.13,8.23,177625.0,8.62581,565,False
2019-08-07 00:00:00+00:00,8.15,8.68,8.12,8.47,117192.0,8.50857,449,False
2019-08-08 00:00:00+00:00,8.57,8.98,8.49,8.9,65507.0,8.77758,175,False
2019-08-09 00:00:00+00:00,9.08,9.15,8.55,8.7,252238.0,8.73398,917,False
2019-08-12 00:00:00+00:00,7.99,7.99,5.19,7.29,395458.0,6.88824,1547,False
2019-08-13 00:00:00+00:00,7.27,7.69,6.56,6.94,348062.0,7.11396,1662,False
2019-08-14 00:00:00+00:00,6.75,6.85,5.94,6.46,247553.0,6.46109,1413,False
2019-08-15 00:00:00+00:00,6.31,6.49,5.96,6.16,400305.0,6.19261,1708,False
2019-08-16 00:00:00+00:00,6.22,6.89,6.22,6.64,183639.0,6.63372,956,False
2019-08-19 00:00:00+00:00,6.55,6.56,6.15,6.15,138695.0,6.39155,625,False
2019-08-20 00:00:00+00:00,6.2,6.38,6.0,6.04,110659.0,6.14657,659,False
2019-08-21 00:00:00+00:00,6.1,6.28,5.96,6.07,58139.0,6.1091,354,False
2019-08-22 00:00:00+00:00,6.21,6.33,5.82,5.9,128733.0,6.02508,769,False
2019-08-23 00:00:00+00:00,5.69,5.9,5.2,5.66,73841.0,5.63885,366,False
2019-08-26 00:00:00+00:00,5.64,5.78,5.49,5.65,29427.0,5.61701,136,False
2019-08-27 00:00:00+00:00,5.74,5.74,4.8,4.86,216567.0,5.09962,1172,False
