date,open,high,low,close,volume,is_rth
2025-11-17 12:00:00+00:00,77.25,77.67,76.49,76.49,31939.0,1.0
2025-11-17 16:00:00+00:00,76.46,77.0,76.27,76.28,7226.0,1.0
2025-11-17 20:00:00+00:00,76.18,76.35,76.07,76.13,14271.0,1.0
2025-11-18 00:00:00+00:00,76.13,76.13,76.12,76.13,0.0,0.0
2025-11-18 12:00:00+00:00,76.38,76.97,76.33,76.73,2072.0,1.0
2025-11-18 16:00:00+00:00,76.57,76.71,76.3,76.31,5366.0,1.0
2025-11-18 20:00:00+00:00,76.33,76.48,76.17,76.17,17474.0,1.0
2025-11-19 00:00:00+00:00,76.17,76.17,76.17,76.17,0.0,0.0
2025-11-19 12:00:00+00:00,76.01,76.22,75.41,75.48,6429.0,1.0
2025-11-19 16:00:00+00:00,75.66,75.87,74.98,75.03,13024.0,1.0
2025-11-19 20:00:00+00:00,75.05,75.38,75.01,75.14,22462.0,1.0
2025-11-20 00:00:00+00:00,75.14,75.14,75.14,75.14,0.0,0.0
2025-11-20 12:00:00+00:00,75.78,76.02,75.28,75.41,2383.0,1.0
2025-11-20 16:00:00+00:00,75.58,76.0,75.19,75.99,12790.0,1.0
2025-11-20 20:00:00+00:00,76.0,76.01,75.73,75.92,21063.0,1.0
2025-11-21 00:00:00+00:00,75.92,75.92,75.92,75.92,0.0,0.0
2025-11-21 12:00:00+00:00,75.92,76.76,75.8,76.47,21031.0,1.0
2025-11-21 16:00:00+00:00,76.46,77.48,76.05,76.88,22484.0,1.0
2025-11-21 20:00:00+00:00,76.74,77.0,76.25,76.94,27041.0,1.0
2025-11-22 00:00:00+00:00,76.94,76.94,76.94,76.94,0.0,0.0
2025-11-24 12:00:00+00:00,76.75,76.81,75.41,76.26,9077.0,1.0
2025-11-24 16:00:00+00:00,76.26,76.32,75.35,75.98,10683.0,1.0
2025-11-24 20:00:00+00:00,76.2,76.26,75.71,75.93,23964.0,1.0
2025-11-25 00:00:00+00:00,75.93,75.93,75.93,75.93,0.0,0.0
2025-11-25 12:00:00+00:00,76.5,77.09,75.94,76.49,11537.0,1.0
2025-11-25 16:00:00+00:00,76.46,76.82,76.19,76.64,14996.0,1.0
2025-11-25 20:00:00+00:00,76.6,76.76,76.31,76.55,28869.0,1.0
2025-11-26 00:00:00+00:00,76.55,76.55,76.55,76.55,0.0,0.0
2025-11-26 12:00:00+00:00,76.5,77.06,76.19,76.83,2147.0,1.0
2025-11-26 16:00:00+00:00,76.85,77.85,76.64,77.41,15571.0,1.0
2025-11-26 20:00:00+00:00,77.47,77.87,76.88,77.0,74481.0,1.0
2025-11-27 00:00:00+00:00,77.0,77.0,77.0,77.0,0.0,0.0
2025-11-28 12:00:00+00:00,77.28,78.15,75.92,76.27,6617.0,1.0
2025-11-28 16:00:00+00:00,76.33,76.33,75.95,76.02,14786.0,1.0
2025-11-28 20:00:00+00:00,76.02,76.02,76.02,76.02,0.0,1.0
2025-12-01 12:00:00+00:00,75.0,75.84,75.0,75.42,4779.0,1.0
2025-12-01 16:00:00+00:00,75.4,76.03,75.01,75.19,14104.0,1.0
2025-12-01 20:00:00+00:00,75.08,75.3,74.87,75.28,27505.0,1.0
2025-12-02 00:00:00+00:00,75.28,75.28,75.28,75.28,0.0,0.0
2025-12-02 12:00:00+00:00,75.48,75.75,74.63,75.74,10646.0,1.0
2025-12-02 16:00:00+00:00,75.67,76.23,75.34,76.06,13659.0,1.0
2025-12-02 20:00:00+00:00,75.88,76.43,75.88,75.96,32557.0,1.0
2025-12-03 00:00:00+00:00,75.96,75.96,75.96,75.96,0.0,0.0
2025-12-03 12:00:00+00:00,76.19,77.37,75.57,76.21,5961.0,1.0
