date,open,high,low,close,volume,is_rth
2025-11-17 12:00:00+00:00,65.0,65.0,64.41,64.43,8079.0,1.0
2025-11-17 16:00:00+00:00,64.44,64.53,63.74,63.74,17928.0,1.0
2025-11-17 20:00:00+00:00,63.73,63.83,63.51,63.83,103690.0,1.0
2025-11-18 00:00:00+00:00,63.83,63.83,63.83,63.83,0.0,0.0
2025-11-18 12:00:00+00:00,63.36,64.02,63.36,63.76,9786.0,1.0
2025-11-18 16:00:00+00:00,63.78,64.03,63.48,63.55,23762.0,1.0
2025-11-18 20:00:00+00:00,63.65,63.94,63.6,63.64,77906.0,1.0
2025-11-19 00:00:00+00:00,63.64,63.64,63.64,63.64,0.0,0.0
2025-11-19 12:00:00+00:00,63.83,63.98,63.21,63.39,16130.0,1.0
2025-11-19 16:00:00+00:00,63.27,63.82,63.27,63.44,45804.0,1.0
2025-11-19 20:00:00+00:00,63.41,63.55,63.29,63.4,70453.0,1.0
2025-11-20 00:00:00+00:00,63.4,63.4,63.4,63.4,0.0,0.0
2025-11-20 12:00:00+00:00,63.91,64.31,63.04,63.09,50467.0,1.0
2025-11-20 16:00:00+00:00,63.22,63.26,62.46,62.88,59357.0,1.0
2025-11-20 20:00:00+00:00,62.9,63.15,62.51,62.57,109681.0,1.0
2025-11-21 00:00:00+00:00,62.57,62.57,62.57,62.57,0.0,0.0
2025-11-21 12:00:00+00:00,63.02,64.2,62.58,64.16,61299.0,1.0
2025-11-21 16:00:00+00:00,64.13,65.33,63.77,64.95,92447.0,1.0
2025-11-21 20:00:00+00:00,64.95,65.04,64.7,64.88,126218.0,1.0
2025-11-22 00:00:00+00:00,64.88,64.88,64.88,64.88,0.0,0.0
2025-11-24 12:00:00+00:00,64.72,65.17,64.36,64.74,21635.0,1.0
2025-11-24 16:00:00+00:00,64.64,64.65,64.22,64.38,51239.0,1.0
2025-11-24 20:00:00+00:00,64.41,64.71,64.2,64.38,142378.0,1.0
2025-11-25 00:00:00+00:00,64.38,64.38,64.38,64.38,0.0,0.0
2025-11-25 12:00:00+00:00,65.19,67.38,65.19,66.53,153453.0,1.0
2025-11-25 16:00:00+00:00,66.58,66.86,66.38,66.59,82467.0,1.0
2025-11-25 20:00:00+00:00,66.59,66.68,66.15,66.25,155349.0,1.0
2025-11-26 00:00:00+00:00,66.25,66.25,66.25,66.25,0.0,0.0
2025-11-26 12:00:00+00:00,65.77,66.0,65.43,65.6,51386.0,1.0
2025-11-26 16:00:00+00:00,65.61,66.22,65.37,65.89,82094.0,1.0
2025-11-26 20:00:00+00:00,65.87,66.35,65.46,65.46,260691.0,1.0
2025-11-27 00:00:00+00:00,65.46,65.46,65.46,65.46,0.0,0.0
2025-11-28 12:00:00+00:00,65.95,66.07,65.17,66.02,26787.0,1.0
2025-11-28 16:00:00+00:00,66.01,66.4,65.77,65.77,193460.0,1.0
2025-11-28 20:00:00+00:00,65.77,65.77,65.77,65.77,0.0,1.0
2025-12-01 12:00:00+00:00,65.34,66.25,65.34,65.89,19883.0,1.0
